delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification,Theta_LowAlpha_Ratio,Theta_HighAlpha_Ratio,Delta_Theta_Ratio,Total_Alpha,Total_Beta,Total_Gamma,High_Low_Alpha_Diff,High_Low_Beta_Diff,High_Low_Gamma_Diff
408190,372240,116464,52988,116464,133073,1136,667714,0,3.20,7.02,1.10,169452,249537,668850,-63476,16609,666578
1321478,653193,115444,66285,115444,20900,13780,656805,1,5.66,9.85,2.02,181729,136344,670585,-49159,-94544,643025
933360,221509,114432,12664,114432,40018,7136,442270,0,1.94,17.49,4.21,127096,154450,449406,-101768,-74414,435134
12973,20178,113512,6702,113512,7966,1465,63564,1,0.18,3.01,0.64,120214,121478,65029,-106810,-105546,62099
2921,18842,113158,26030,113158,25326,4963,195310,1,0.17,0.72,0.16,139188,138484,200273,-87128,-87832,190347
103514,91263,112282,14524,112282,6902,5241,35757,1,0.81,6.28,1.13,126806,119184,40998,-97758,-105380,30516
1680426,101773,111877,13190,111877,19226,17861,12266,0,0.91,7.72,16.51,125067,131103,30127,-98687,-92651,-5595
2002,24290,111404,5358,111404,9019,5871,150222,1,0.22,4.53,0.08,116762,120423,156093,-106046,-102385,144351
936249,896833,111193,85281,111193,125857,11104,1337741,0,8.07,10.52,1.04,196474,237050,1348845,-25912,14664,1326637
1048913,280665,111087,127225,111087,26884,4678,975395,0,2.53,2.21,3.74,238312,137971,980073,16138,-84203,970717
1909449,441714,110327,24080,111050,55970,32500,206756,0,4.00,18.34,4.32,134407,167020,239256,-86247,-55080,174256
16409,15220,109403,15848,109403,20525,9095,25835,1,0.14,0.96,1.08,125251,129928,34930,-93555,-88878,16740
824081,207495,108779,63792,108779,19323,8559,445335,0,1.91,3.25,3.97,172571,128102,453894,-44987,-89456,436776
1071418,146272,108238,46092,108238,13254,5314,5938,0,1.35,3.17,7.32,154330,121492,11252,-62146,-94984,624
667165,110819,107297,12927,107297,20164,27851,169093,0,1.03,8.57,6.02,120224,127461,196944,-94370,-87133,141242
2236994,250322,107248,56607,107248,6845,5970,919934,1,2.33,4.42,8.94,163855,114093,925904,-50641,-100403,913964
954368,507569,106712,84958,106712,23141,19737,718782,1,4.76,5.97,1.88,191670,129853,738519,-21754,-83571,699045
1611696,420198,106489,48409,106489,27298,11759,516347,0,3.95,8.68,3.84,154898,133787,528106,-58080,-79191,504588
1323129,398773,105901,163585,105901,116373,42045,982620,0,3.77,2.44,3.32,269486,222274,1024665,57684,10472,940575
499410,126560,105884,63191,105884,56864,12582,24106,0,1.20,2.00,3.95,169075,162748,36688,-42693,-49020,11524
